POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
3,Jasprit Bumrah,16,16,59,439,20,21.95,7.39,17.8,0,0,2017,,,,,,,,,,,
4,Mitchell McClenaghan,14,14,54,507,19,26.68,9.38,17.05,0,0,2017,,,,,,,,,,,
5,Imran Tahir,12,12,47,369,18,20.5,7.85,15.66,0,0,2017,,,,,,,,,,,
6,Chris Woakes,13,13,44,386,17,22.7,8.77,15.52,0,0,2017,,,,,,,,,,,
7,Rashid Khan,14,14,54,358,17,21.05,6.62,19.05,0,0,2017,,,,,,,,,,,
8,Sandeep Sharma,13,13,48,398,17,23.41,8.29,16.94,1,0,2017,,,,,,,,,,,
9,Umesh Yadav,14,14,48,410,17,24.11,8.45,17.11,1,0,2017,,,,,,,,,,,
10,Siddarth Kaul,10,10,35,300,16,18.75,8.41,13.37,1,0,2017,,,,,,,,,,,
11,Pawan Negi,12,12,32,197,16,12.31,6.12,12.06,0,0,2017,,,,,,,,,,,
12,Axar Patel,14,14,48,362,15,24.13,7.54,19.2,0,0,2017,,,,,,,,,,,
13,Nathan Coulter-Nile,8,8,28,228,15,15.2,8.04,11.33,0,0,2017,,,,,,,,,,,
14,Pat Cummins,12,12,46,373,15,24.86,8.07,18.46,0,0,2017,,,,,,,,,,,
15,Yuzvendra Chahal,13,13,43,333,14,23.78,7.65,18.64,0,0,2017,,,,,,,,,,,
16,Mohit Sharma,14,14,45,410,13,31.53,8.97,21.07,0,0,2017,,,,,,,,,,,
17,Karn Sharma,9,9,30,214,13,16.46,6.97,14.15,1,0,2017,,,,,,,,,,,
18,Kuldeep Yadav,12,11,41,340,12,28.33,8.29,20.5,0,0,2017,,,,,,,,,,,
19,Chris Morris,9,9,31,240,12,20,7.74,15.5,1,0,2017,,,,,,,,,,,
20,Ben Stokes,12,12,44,316,12,26.33,7.18,22,0,0,2017,,,,,,,,,,,
21,Andrew Tye,6,6,21,141,12,11.75,6.71,10.5,0,1,2017,,,,,,,,,,,
22,Shardul Thakur,12,12,38,315,11,28.63,8.25,20.81,0,0,2017,,,,,,,,,,,
23,Dan Christian,13,13,40,298,11,27.09,7.45,21.81,0,0,2017,,,,,,,,,,,
