POS,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Year ,,,,,,,,,,,
42,Mustafizur Rahman,8,8,32,244,8,30.5,7.62,24,0,0,2022,,,,,,,,,,,
43,Riley Meredith,8,8,28,236,8,29.5,8.42,21,0,0,2022,,,,,,,,,,,
44,Kuldeep Sen,7,7,25.1,237,8,29.62,9.41,18.87,1,0,2022,,,,,,,,,,,
45,Jagadeesha Suchith,5,5,18,140,7,20,7.77,15.42,0,0,2022,,,,,,,,,,,
46,Marco Jansen,8,8,32,274,7,39.14,8.56,27.42,0,0,2022,,,,,,,,,,,
47,Alzarri Joseph,9,9,30,264,7,37.71,8.8,25.71,0,0,2022,,,,,,,,,,,
48,Pat Cummins,5,5,19.5,212,7,30.28,10.68,17,0,0,2022,,,,,,,,,,,
49,Glenn Maxwell,13,10,24,165,6,27.5,6.87,24,0,0,2022,,,,,,,,,,,
50,Axar Patel,13,13,43,321,6,53.5,7.46,43,0,0,2022,,,,,,,,,,,
51,Sai Kishore,5,5,16,121,6,20.16,7.56,16,0,0,2022,,,,,,,,,,,
52,Rishi Dhawan,6,6,19,156,6,26,8.21,19,0,0,2022,,,,,,,,,,,
53,Varun Chakaravarthy,11,11,39,332,6,55.33,8.51,39,0,0,2022,,,,,,,,,,,
54,Washington Sundar,9,8,28,239,6,39.83,8.53,28,0,0,2022,,,,,,,,,,,
55,Liam Livingstone,14,12,23,202,6,33.66,8.78,23,0,0,2022,,,,,,,,,,,
56,Ramandeep Singh,5,3,6,54,6,9,9,6,0,0,2022,,,,,,,,,,,
57,Jaydev Unadkat,5,5,20,190,6,31.66,9.5,20,0,0,2022,,,,,,,,,,,
58,Dwaine Pretorius,6,6,21,210,6,35,10,21,0,0,2022,,,,,,,,,,,
59,Tymal Mills,5,5,17,190,6,31.66,11.17,17,0,0,2022,,,,,,,,,,,
60,Odean Smith,6,6,15,178,6,29.66,11.86,15,1,0,2022,,,,,,,,,,,
61,Ravindra Jadeja,10,10,33,248,5,49.6,7.51,39.6,0,0,2022,,,,,,,,,,,
62,Kumar Kartikeya Singh,4,4,13,102,5,20.4,7.84,15.6,0,0,2022,,,,,,,,,,,
63,Krishnappa Gowtham,4,4,12,99,5,19.8,8.25,14.4,0,0,2022,,,,,,,,,,,
64,Basil Thampi,5,5,16,152,5,30.4,9.5,19.2,0,0,2022,,,,,,,,,,,
65,Shivam Mavi,6,6,22,227,5,45.4,10.31,26.4,0,0,2022,,,,,,,,,,,
66,Akash Deep,5,5,18.5,205,5,41,10.88,22.6,0,0,2022,,,,,,,,,,,
67,Mitchell Santner,6,6,19,130,4,32.5,6.84,28.5,0,0,2022,,,,,,,,,,,
68,Simarjeet Singh,6,6,18,138,4,34.5,7.66,27,0,0,2022,,,,,,,,,,,
69,Lalit Yadav,12,8,18,150,4,37.5,8.33,27,0,0,2022,,,,,,,,,,,
70,Mitchell Marsh,8,4,12,102,4,25.5,8.5,18,0,0,2022,,,,,,,,,,,
71,Kieron Pollard,11,6,14,125,4,31.25,8.92,21,0,0,2022,,,,,,,,,,,
72,Harpreet Brar,5,5,16,146,4,36.5,9.12,24,0,0,2022,,,,,,,,,,,
73,Shahbaz Ahmed,16,14,35,336,4,84,9.6,52.5,0,0,2022,,,,,,,,,,,
74,Marcus Stoinis,11,5,7,79,4,19.75,11.28,10.5,0,0,2022,,,,,,,,,,,
75,Pradeep Sangwan,3,3,9,65,3,21.66,7.22,18,0,0,2022,,,,,,,,,,,
76,Chetan Sakariya,3,3,11,84,3,28,7.63,22,0,0,2022,,,,,,,,,,,
77,Nathan Ellis,2,2,6,55,3,18.33,9.16,12,0,0,2022,,,,,,,,,,,
78,Vaibhav Arora,5,5,17.5,164,3,54.66,9.19,35.66,0,0,2022,,,,,,,,,,,
79,Romario Shepherd,3,3,9,98,3,32.66,10.88,18,0,0,2022,,,,,,,,,,,
80,Navdeep Saini,2,2,6,72,3,24,12,12,0,0,2022,,,,,,,,,,,
81,Ayush Badoni,13,2,2,11,2,5.5,5.5,6,0,0,2022,,,,,,,,,,,
82,Prashant Solanki,2,2,6,38,2,19,6.33,18,0,0,2022,,,,,,,,,,,
83,Matheesha Pathirana,2,2,6.5,52,2,26,7.6,20.5,0,0,2022,,,,,,,,,,,
84,Sandeep Sharma,5,5,20,153,2,76.5,7.65,60,0,0,2022,,,,,,,,,,,
85,Hrithik Shokeen,5,5,15,127,2,63.5,8.46,45,0,0,2022,,,,,,,,,,,
86,Fazalhaq Farooqi,3,3,12,110,2,55,9.16,36,0,0,2022,,,,,,,,,,,
87,Andrew Tye,3,3,11,107,2,53.5,9.72,33,0,0,2022,,,,,,,,,,,
88,Varun Aaron,2,2,5,52,2,26,10.4,15,0,0,2022,,,,,,,,,,,
89,Chris Jordan,4,4,12.5,135,2,67.5,10.51,38.5,0,0,2022,,,,,,,,,,,
90,Darshan Nalkande,2,2,5.1,59,2,29.5,11.41,15.5,0,0,2022,,,,,,,,,,,
91,David Willey,4,4,11,72,1,72,6.54,66,0,0,2022,,,,,,,,,,,
92,Anukul Roy,2,2,7,55,1,55,7.85,42,0,0,2022,,,,,,,,,,,
93,Mayank Markande,2,2,7,57,1,57,8.14,42,0,0,2022,,,,,,,,,,,
94,Tushar Deshpande,2,2,7,63,1,63,9,42,0,0,2022,,,,,,,,,,,
95,Kartik Tyagi,2,2,8,79,1,79,9.87,48,0,0,2022,,,,,,,,,,,
96,Harshit Rana,2,2,5,51,1,51,10.2,30,0,0,2022,,,,,,,,,,,
97,Aiden Markram,14,4,6,64,1,64,10.66,36,0,0,2022,,,,,,,,,,,
98,Deepak Hooda,15,2,4,43,1,43,10.75,24,0,0,2022,,,,,,,,,,,
99,Shreyas Gopal,1,1,3,34,1,34,11.33,18,0,0,2022,,,,,,,,,,,
100,Fabian Allen,1,1,4,46,1,46,11.5,24,0,0,2022,,,,,,,,,,,
101,Sean Abbott,1,1,4,47,1,47,11.75,24,0,0,2022,,,,,,,,,,,
102,Riyan Parag,17,4,4,59,1,59,14.75,24,0,0,2022,,,,,,,,,,,
103,Dewald Brevis,7,1,0.3,8,1,8,16,3,0,0,2022,,,,,,,,,,,
